"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-0.784491866174437,4.42995621855255
2001-01-02 12:00:00,2001,1,2,NA,-2.68601655017026,2.96965417283996
2001-01-03 12:00:00,2001,1,3,NA,-2.75597320832119,1.90263897704366
2001-01-04 12:00:00,2001,1,4,NA,-7.71787464884591,-2.13995068914134
2001-01-05 12:00:00,2001,1,5,NA,-3.82736078515248,-0.119772663460147
2001-01-06 12:00:00,2001,1,6,NA,-3.08726188232018,0.643117036979061
2001-01-07 12:00:00,2001,1,7,NA,1.48715391165149,4.25039403658642
2001-01-08 12:00:00,2001,1,8,NA,-2.68931402475964,1.0556262039974
2001-01-09 12:00:00,2001,1,9,NA,-3.85026718102319,-0.80789056164906
2001-01-10 12:00:00,2001,1,10,NA,-6.07742532009493,-4.22810353257365
2001-01-11 12:00:00,2001,1,11,NA,-6.56576023299146,-4.71741735626621
2001-01-12 12:00:00,2001,1,12,NA,-7.67260368354982,-3.6798766185883
2001-01-13 12:00:00,2001,1,13,NA,-7.30650274124889,-1.6544356644382
2001-01-14 12:00:00,2001,1,14,NA,-0.0713602650166946,0.861905230271792
2001-01-15 12:00:00,2001,1,15,NA,2.37937188694678,3.17648879560923
2001-01-16 12:00:00,2001,1,16,NA,-2.26979240509198,-1.33636791539487
2001-01-17 12:00:00,2001,1,17,NA,-1.31053684757488,0.546647420035709
2001-01-18 12:00:00,2001,1,18,NA,0.163802017212144,1.0955533201176
2001-01-19 12:00:00,2001,1,19,NA,-1.4026449461687,1.37544381642133
2001-01-20 12:00:00,2001,1,20,NA,0.846802846961082,4.56346588676244
2001-01-21 12:00:00,2001,1,21,NA,-0.955363102817881,5.04657357083241
2001-01-22 12:00:00,2001,1,22,NA,-0.883991711829629,5.70202681443896
2001-01-23 12:00:00,2001,1,23,NA,0.0814081889664777,4.8107575822154
2001-01-24 12:00:00,2001,1,24,NA,0.707824625031945,4.43820354433119
2001-01-25 12:00:00,2001,1,25,NA,1.62190617403219,5.76165488059393
2001-01-26 12:00:00,2001,1,26,NA,3.15882813993271,8.17908924826907
2001-01-27 12:00:00,2001,1,27,NA,2.36399405372754,8.74914609652195
2001-01-28 12:00:00,2001,1,28,NA,-1.10906053261069,2.98968748013142
2001-01-29 12:00:00,2001,1,29,NA,2.5023580830383,4.43504743459444
2001-01-30 12:00:00,2001,1,30,NA,3.07192874321299,8.60636998429214
2001-01-31 12:00:00,2001,1,31,NA,2.11331912091686,10.5485662764369
2001-02-01 12:00:00,2001,2,1,NA,4.30824047968303,11.7947020854696
2001-02-02 12:00:00,2001,2,2,NA,4.22984602877836,9.23796137984344
2001-02-03 12:00:00,2001,2,3,NA,4.88468085372943,11.2380867867976
2001-02-04 12:00:00,2001,2,4,NA,8.02251691456282,9.82113279560232
2001-02-05 12:00:00,2001,2,5,NA,7.68309388328506,9.00921308642757
2001-02-06 12:00:00,2001,2,6,NA,5.83277116023086,8.33748857831495
2001-02-07 12:00:00,2001,2,7,NA,5.37943639549825,9.24432072849156
2001-02-08 12:00:00,2001,2,8,NA,2.64805711538709,7.3165353078839
2001-02-09 12:00:00,2001,2,9,NA,2.30981739887032,7.6439775385257
2001-02-10 12:00:00,2001,2,10,NA,-0.540644095668865,4.83471935343575
2001-02-11 12:00:00,2001,2,11,NA,-1.16594740830535,0.979012668794608
2001-02-12 12:00:00,2001,2,12,NA,0.400664650434275,3.37332619026681
2001-02-13 12:00:00,2001,2,13,NA,-0.86864939340874,1.02078882752578
2001-02-14 12:00:00,2001,2,14,NA,1.2330047984458,2.39474163463443
2001-02-15 12:00:00,2001,2,15,NA,-1.89174314715836,-0.825510079644366
