"Date","Type","JDay","Coef","VIP","MetricMean","MetricStdev"
701,"Chill",-183,0.0960366850773091,1.03838750687637,0.0513306040479295,0.0920855845105815
702,"Chill",-182,0.131776252729782,1.18917359872886,0.0501242245036242,0.0956230413915002
703,"Chill",-181,0.110321515804794,1.07989482608614,0.0471174784431327,0.0911789252289309
704,"Chill",-180,0.140753730601545,1.2101375927727,0.0440558680943379,0.079531938452145
705,"Chill",-179,0.0602759064660644,1.05670580039643,0.0394725275681457,0.0844768261161821
706,"Chill",-178,0.0380405574094323,0.965815442212383,0.0352333013352791,0.0786640880787618
707,"Chill",-177,0.0488986894811363,0.918430052051052,0.0367892549016093,0.0788625691671052
708,"Chill",-176,0.0799135258992175,1.04771621256711,0.0353912329546889,0.0708778161645652
709,"Chill",-175,0.0405090151930886,0.903794442951129,0.0323586725732688,0.0683464187865375
710,"Chill",-174,0.145219152677715,1.06990129955777,0.027783317959646,0.0713742536475647
711,"Chill",-173,0.0830092512676703,0.774761673612322,0.0215953859391569,0.0577711973856253
712,"Chill",-172,0.0394373457245797,0.706459100880351,0.0261963056927324,0.0641892388968791
713,"Chill",-171,0.0645410011685057,0.752587192949976,0.0261949167557043,0.0596159736563163
714,"Chill",-170,0.0624766797722804,0.766151364877741,0.0246648079074062,0.0590791784642574
715,"Chill",-169,0.0584746475573699,0.734673113756395,0.0216307930572596,0.05542153577541
716,"Chill",-168,0.0208417820142002,0.566311347026278,0.0216461674532529,0.057380257302351
717,"Chill",-167,0.0643845386880073,0.666063762034624,0.0228041892763704,0.0599479119453238
718,"Chill",-166,0.0502727943078829,0.674256663169463,0.0182337799427837,0.0500027502563719
719,"Chill",-165,-0.0165251822324681,0.639843518227938,0.0212985919105363,0.0516105227074464
720,"Chill",-164,-4.40036362930869e-05,0.874894763816455,0.024347263455971,0.0472655940029251
721,"Chill",-163,-0.040728859680833,0.793091137653534,0.0228099492958152,0.0433031182011778
722,"Chill",-162,-0.042839368446646,0.747878855174226,0.0229162404749955,0.043465207875196
723,"Chill",-161,0.0108842482785286,0.762439984525911,0.0183153207214201,0.0369404086142787
724,"Chill",-160,-0.074620599593709,0.883894730044739,0.0182303630411049,0.0367758711600732
725,"Chill",-159,-0.043432842438763,0.964005767175394,0.0197627560283184,0.0414838744953036
726,"Chill",-158,-0.0702365659491127,0.891657672323847,0.0212910831686617,0.0456688360120419
727,"Chill",-157,-0.0647436863655767,0.906464268473288,0.0197330876533324,0.0447507570760877
728,"Chill",-156,-0.142715925448907,0.847353205477727,0.0197208617316041,0.0447307530963604
729,"Chill",-155,-0.125658259769916,0.786270679521819,0.0212370977707524,0.048568796273733
730,"Chill",-154,-0.0461818781441674,0.635860196742771,0.016646054034531,0.0426739712371018
731,"Chill",-153,-0.0397641011624574,0.380968899815255,0.0120700945764052,0.0352765898239786
801,"Chill",-152,-0.0256844366464663,0.34542572601866,0.0135877963288852,0.0436743125842442
802,"Chill",-151,-0.0397723855671196,0.380990979557176,0.0120693256215663,0.0352728214057715
803,"Chill",-150,-0.0397723855671196,0.380990979557177,0.0120693256215663,0.0352728214057715
804,"Chill",-149,-0.0386714984321584,0.297645668138473,0.0106373670333528,0.0339429299307693
805,"Chill",-148,-0.0699408804044109,0.341123211622181,0.00910497404613931,0.0322429303206211
806,"Chill",-147,-0.0979577429336956,0.50745700733352,0.00906405228323817,0.0321377133575796
807,"Chill",-146,-0.0951810935662055,0.507723879653393,0.00756344264967267,0.0303448043567811
808,"Chill",-145,-0.141439793693267,0.685556542130818,0.00758283140945412,0.0303995195253088
809,"Chill",-144,-0.142946326515527,0.861019249929496,0.0076031505776706,0.0254318343253935
810,"Chill",-143,-0.12937968349939,0.768302143999186,0.00914395574902195,0.027665790545496
811,"Chill",-142,-0.101084954080693,0.712201006145396,0.0106668015835516,0.0296009769180407
812,"Chill",-141,-0.070311623079249,0.879552476431252,0.0122058244360894,0.0356821386304671
813,"Chill",-140,0.0320664980101913,0.972756231154345,0.0167638468280534,0.0461840325201301
814,"Chill",-139,-0.0138446929098913,0.925944776591703,0.0228670799178469,0.0523224093201788
815,"Chill",-138,-0.0452833786243709,0.944228290437475,0.0244014830492932,0.052986168539957
816,"Chill",-137,-0.054094979649311,1.09241953504973,0.027388148176722,0.0540599019750135
817,"Chill",-136,-0.0220633448670888,1.21273101075268,0.0274196123392106,0.0540970505783526
818,"Chill",-135,-0.024070345612735,1.25901032885454,0.028938671141203,0.057112872469028
819,"Chill",-134,-0.00493215529390675,1.20129969086567,0.0334537466665123,0.060564893071558
820,"Chill",-133,0.0152713547805122,1.12710389248812,0.0364963209806463,0.0633354999193152
821,"Chill",-132,-0.00970890571089561,1.126497619709,0.0406536999387298,0.0710957277397362
822,"Chill",-131,0.0296950125996362,1.27503857130648,0.0467414428398584,0.0788025718394013
823,"Chill",-130,0.0196856864146744,1.13458447649663,0.0467440920487103,0.0788066850317154
824,"Chill",-129,-0.0695263345152204,1.11215485121225,0.0513504717410784,0.0821022891954807
825,"Chill",-128,-0.039830979103216,0.967936246827232,0.0467817941512712,0.0840015637217134
