"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,-4.85100819319175,6.36599274035776
2001-01-02 12:00:00,2001,1,2,NA,-4.27428780238317,3.13166798204343
2001-01-03 12:00:00,2001,1,3,NA,-4.0604523979937,3.14938996169054
2001-01-04 12:00:00,2001,1,4,NA,-3.80323613112886,-0.76322544163209
2001-01-05 12:00:00,2001,1,5,NA,-4.16632855670042,3.6694643153445
2001-01-06 12:00:00,2001,1,6,NA,-4.32575377339971,4.70629037506614
2001-01-07 12:00:00,2001,1,7,NA,-2.96930319190036,9.41979457238889
2001-01-08 12:00:00,2001,1,8,NA,-2.55590840600366,4.33681108824359
2001-01-09 12:00:00,2001,1,9,NA,-1.56315695850982,3.6361786504602
2001-01-10 12:00:00,2001,1,10,NA,1.04628187820375,6.32969261240707
2001-01-11 12:00:00,2001,1,11,NA,1.17477917954838,6.86686357544747
2001-01-12 12:00:00,2001,1,12,NA,-2.27303570149917,2.44613372401248
2001-01-13 12:00:00,2001,1,13,NA,-4.50297083303323,1.64137518372374
2001-01-14 12:00:00,2001,1,14,NA,-0.970488707149178,11.4339476559833
2001-01-15 12:00:00,2001,1,15,NA,5.36680309348533,17.7125951698445
2001-01-16 12:00:00,2001,1,16,NA,6.018461390475,13.2351636019837
2001-01-17 12:00:00,2001,1,17,NA,3.1352920712132,11.9176976299703
2001-01-18 12:00:00,2001,1,18,NA,5.67771070362712,15.209375588359
2001-01-19 12:00:00,2001,1,19,NA,2.65098466909831,9.625212961851
2001-01-20 12:00:00,2001,1,20,NA,-0.365030945275099,9.71171918222216
2001-01-21 12:00:00,2001,1,21,NA,-2.6009584854876,4.75404132055961
2001-01-22 12:00:00,2001,1,22,NA,-4.2317491889095,3.89605695650238
2001-01-23 12:00:00,2001,1,23,NA,-3.69669392306141,4.56662893273371
2001-01-24 12:00:00,2001,1,24,NA,-3.04464688197643,6.78785901924398
2001-01-25 12:00:00,2001,1,25,NA,-3.47791473346128,8.11254919273662
2001-01-26 12:00:00,2001,1,26,NA,-4.06928168174081,8.30303953229219
2001-01-27 12:00:00,2001,1,27,NA,-4.14274062185786,6.87019031506154
2001-01-28 12:00:00,2001,1,28,NA,-0.529910233079274,3.66614262410182
2001-01-29 12:00:00,2001,1,29,NA,-0.320955564187782,9.6450883855685
2001-01-30 12:00:00,2001,1,30,NA,-3.87029938257516,7.72016454362274
2001-01-31 12:00:00,2001,1,31,NA,-5.58278263128182,4.68889569550402
2001-02-01 12:00:00,2001,2,1,NA,-5.7579961346435,6.66615295979883
2001-02-02 12:00:00,2001,2,2,NA,-3.65106965127759,6.77865671765046
2001-02-03 12:00:00,2001,2,3,NA,-5.39612066204504,11.0892979755632
2001-02-04 12:00:00,2001,2,4,NA,-0.0967152615976055,16.1432738542065
2001-02-05 12:00:00,2001,2,5,NA,3.25720541802898,17.9209535479783
2001-02-06 12:00:00,2001,2,6,NA,2.17670544959516,15.4473516195003
2001-02-07 12:00:00,2001,2,7,NA,0.56749537516778,15.1772135265554
2001-02-08 12:00:00,2001,2,8,NA,1.96368711123705,10.5225728724156
2001-02-09 12:00:00,2001,2,9,NA,-0.354654569000843,10.30100583667
2001-02-10 12:00:00,2001,2,10,NA,0.141681603631089,5.92587378791095
2001-02-11 12:00:00,2001,2,11,NA,4.01133959929403,9.79553178357389
